timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
20969.269894099,standard,0.0,0.0,1.0,152.0,255.0,25.0,1.0,5.0,115.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,513.0,46703.0,9623.0,6917.0,1379.0,73.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,699.0
20969.396700297,standard,1.0,0.0,1.0,153.0,255.0,25.0,1.0,5.0,112.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,513.0,48102.0,9605.0,6446.0,1347.0,75.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,862.0
20969.523702073,standard,2.0,0.0,1.0,153.0,255.0,25.0,1.0,5.0,118.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,513.0,49524.0,9607.0,6440.0,1333.0,74.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,931.0
20969.650757619,standard,3.0,0.0,1.0,153.0,255.0,26.0,1.0,5.0,108.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,512.0,47212.0,9574.0,7141.0,1399.0,78.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,963.0
20969.777683886,standard,4.0,0.0,1.0,153.0,255.0,26.0,1.0,5.0,112.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,513.0,45331.0,9524.0,6442.0,1332.0,75.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,978.0
20969.904648486,standard,5.0,0.0,1.0,153.0,255.0,26.0,1.0,5.0,107.0,90.0,0.0,1.0,1.0,5.0,5.0,639.0,513.0,45293.0,9378.0,7086.0,1416.0,75.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,983.0
20970.029689915,standard,6.0,0.0,1.0,154.0,255.0,26.0,1.0,5.0,105.0,90.0,0.0,1.0,1.0,5.0,5.0,639.0,513.0,48968.0,9717.0,6776.0,1374.0,77.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,985.0
20970.152628463,standard,7.0,0.0,1.0,154.0,255.0,26.0,1.0,5.0,110.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,512.0,45281.0,9435.0,6720.0,1355.0,76.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,988.0
20970.277454708,standard,8.0,0.0,1.0,154.0,255.0,27.0,1.0,5.0,109.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,513.0,45039.0,9523.0,6391.0,1320.0,76.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,989.0
20970.404387561,standard,9.0,0.0,1.0,154.0,255.0,27.0,1.0,5.0,113.0,90.0,0.0,1.0,1.0,5.0,5.0,639.0,513.0,48657.0,9994.0,6956.0,1386.0,77.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,988.0
20970.531195758,standard,10.0,0.0,1.0,154.0,255.0,27.0,1.0,5.0,113.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,513.0,44682.0,9521.0,6727.0,1382.0,79.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,989.0
20970.658174125,standard,11.0,0.0,1.0,154.0,255.0,27.0,1.0,5.0,111.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,512.0,45064.0,9405.0,6607.0,1368.0,75.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,989.0
20970.785261527,standard,12.0,0.0,1.0,155.0,255.0,27.0,1.0,5.0,113.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,512.0,47713.0,9741.0,6562.0,1352.0,77.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,990.0
20970.912068108,standard,13.0,0.0,1.0,155.0,255.0,28.0,1.0,5.0,117.0,90.0,0.0,1.0,1.0,5.0,5.0,639.0,513.0,45881.0,9639.0,6503.0,1346.0,75.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,989.0
20971.039105904,standard,14.0,0.0,1.0,155.0,255.0,28.0,1.0,5.0,109.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,513.0,48591.0,9891.0,6493.0,1359.0,78.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,990.0
20971.165265909,standard,15.0,0.0,1.0,155.0,255.0,28.0,1.0,5.0,109.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,512.0,43673.0,9393.0,6546.0,1358.0,76.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,990.0
20971.287209769,standard,16.0,0.0,1.0,155.0,255.0,28.0,1.0,5.0,105.0,90.0,0.0,1.0,1.0,5.0,5.0,639.0,512.0,48222.0,9791.0,7071.0,1427.0,77.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,989.0
20971.411921081,standard,17.0,0.0,1.0,156.0,255.0,28.0,1.0,5.0,117.0,90.0,0.0,1.0,1.0,5.0,5.0,638.0,512.0,49138.0,10040.0,6499.0,1351.0,76.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,990.0
